perfil_anterior,perfil_reactivo,prediccion_futura,probabilidad_downgrade,perfil_final,accion,razon,cambio_permitido,cambio_permitido_por_prediccion,advertencias,timestamp
high,high,maintain,0.08010073492995336,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],0
high,high,maintain,0.08010073492995336,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],10
high,high,maintain,0.08010073492995336,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],20
high,high,maintain,0.08010073492995336,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],30
high,high,maintain,0.08010073492995336,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],40
high,low,maintain,0.08010073492995336,low,reducir,El modelo reactivo detectó métricas pobres instantáneas.,True,True,[],50
low,low,maintain,0.08010073492995336,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],60
low,low,maintain,0.08010073492995336,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],70
low,low,maintain,0.08010073492995336,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],80
low,low,maintain,0.08010073492995336,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],90
low,low,maintain,0.08010073492995336,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,True,True,[],100
low,medium,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (60.0s < 120s),True,True,[],110
low,medium,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (70.0s < 120s),True,True,[],120
low,medium,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (80.0s < 120s),True,True,[],130
low,medium,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (90.0s < 120s),True,True,[],140
low,medium,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (100.0s < 120s),True,True,[],150
low,high,maintain,0.08010073492995336,low,mantener,Aumento bloqueado por cooldown (110.0s < 120s),True,True,[],160
low,high,maintain,0.08010073492995336,medium,aumentar,Condiciones sostenidas permiten subir un nivel con seguridad.,True,True,[],170
medium,high,maintain,0.08010073492995336,medium,mantener,"Reactivo pide aumento, pero falta histéresis (0/3 ciclos).",True,True,[],180
medium,high,maintain,0.08010073492995336,medium,mantener,"Reactivo pide aumento, pero falta histéresis (1/3 ciclos).",True,True,[],190
